,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
1417,Daniel Maldini,Attacking Midfield,20,2.0,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,0,True
1418,Jérémie Bela,Left Winger,29,2.0,England,Championship,Birmingham City,France,Ligue 1,Clermont Foot 63,0,False
1419,Thuler,Centre-Back,23,2.0,Brazil,Série A,CR Flamengo,Japan,J1 League,Vissel Kobe,0,True
1420,Maxime Leverbe,Centre-Back,25,2.0,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,0,True
1421,Opa Nguette,Left Winger,28,2.0,France,Ligue 2,FC Metz,United Arab Emirates,UAE Pro League,FC Baniyas,0,False
1422,Jürgen Locadia,Centre-Forward,28,2.0,Germany,Bundesliga,VfL Bochum,Iran,Persian Gulf Pro League,Persepolis FC,0,False
1423,Mikael,Centre-Forward,23,2.0,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,0,True
1424,Steven Caulker,Centre-Back,30,2.0,Türkiye,Süper Lig,Fenerbahce,Türkiye,Süper Lig,Fatih Karagümrük,0,False
1425,Fernando González,Defensive Midfield,28,2.0,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Deportivo Guadalajara,0,False
1426,Santiago Ormeño,Centre-Forward,28,2.0,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Guadalajara,0,False
1427,Darko Velkovski,Centre-Back,27,2.0,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Saudi Pro League,Al-Ettifaq FC,0,False
1428,Roberto Massimo,Right Midfield,21,2.0,Germany,Bundesliga,VfB Stuttgart,Portugal,Liga Sabseg,Académico Viseu FC,0,True
1429,Santiago Naveda,Defensive Midfield,21,2.0,Mexico,Liga MX Apertura,CF América,Poland,Ekstraklasa,Miedz Legnica,0,True
1430,Samuele Mulattieri,Centre-Forward,21,2.0,Italy,Serie A,Inter Milan,Italy,Serie B,Frosinone Calcio,0,True
1431,Gianluca Frabotta,Left-Back,23,2.0,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,0,True
1432,Gabriel Noga,Centre-Back,20,2.0,Brazil,Série A,CR Flamengo,Brazil,Série B,Esporte Clube Bahia,0,True
1433,Pierre Dwomoh,Central Midfield,18,2.0,Belgium,Jupiler Pro League,Royal Antwerp FC,Portugal,Liga 3,SC Braga B,0,True
1434,Thiago Galhardo,Centre-Forward,32,2.0,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Fortaleza Esporte Clube,0,True
1435,Pedro Rocha,Left Winger,27,2.0,Russia,Premier Liga,Spartak Moscow,Brazil,Série A,Fortaleza Esporte Clube,0,False
1436,João Carlos Teixeira,Attacking Midfield,29,2.0,Portugal,Liga Portugal,FC Famalicão,Qatar,Stars League,Umm Salal SC,0,False
1437,Rodrigo Riquelme,Left Winger,22,2.0,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,0,True
1438,Paulo Gazzaniga,Goalkeeper,30,2.0,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,0,True
1439,Roberto López,Attacking Midfield,22,2.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga SmartBank,CD Mirandés,0,True
1440,Ryad Boudebouz,Attacking Midfield,32,2.0,France,Ligue 2,AS Saint-Étienne,Saudi Arabia,Without League,Al-Ahli SFC,0,False
1441,Jhoanner Chávez,Left-Back,21,2.0,Brazil,Série A,Esporte Clube Bahia,Ecuador,Serie A Segunda Etapa,Independiente del Valle,0,True
1442,Fabio Abreu,Centre-Forward,29,2.0,Saudi Arabia,Saudi Pro League,Al-Batin FC,United Arab Emirates,UAE Pro League,Khor Fakkan SSC,0,False
1443,Mehdi Abeid,Central Midfield,30,2.0,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),United Arab Emirates,UAE Pro League,Khor Fakkan SSC,0,False
1444,Darío Sarmiento,Right Winger,19,2.0,England,Premier League 2,Manchester City U21,Uruguay,Primera División Clausura,Montevideo City Torque,0,True
1445,Wilder Cartagena,Defensive Midfield,27,2.0,United Arab Emirates,UAE Pro League,Ittihad Kalba FC,United States,MLS,Orlando City SC,0,True
1446,Matt Miazga,Centre-Back,27,2.0,England,Premier League,Chelsea FC,United States,MLS,FC Cincinnati,0,False
1447,Luís Oyama,Defensive Midfield,25,2.0,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,0,True
1448,Anthony Knockaert,Right Winger,30,2.0,England,Premier League,Fulham FC,Greece,Super League 1,Volos NPS,0,True
1449,Lautaro Blanco,Left-Back,23,1.5,Argentina,Liga Profesional,CA Rosario Central,Spain,LaLiga,Elche CF,1.96,False
1450,Nilson Angulo,Left Winger,19,1.5,Ecuador,Serie A Segunda Etapa,LDU Quito,Belgium,Jupiler Pro League,RSC Anderlecht,1.9,False
1451,Ilias Koutsoupias,Central Midfield,21,1.9,Italy,Serie C-B,Virtus Entella,Italy,Serie B,Benevento Calcio,750k,True
1452,Domagoj Vida,Centre-Back,33,1.9,Türkiye,Süper Lig,Besiktas JK,Greece,Super League 1,AEK Athens,0,False
1453,Jesús Dueñas,Defensive Midfield,33,1.5,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,FC Juárez,1.89,False
1454,Luke McNally,Centre-Back,22,0,England,League One,Oxford United,England,Championship,Burnley FC,1.85,False
1455,Mender García,Centre-Forward,23,500k,Colombia,Liga DIMAYOR II,Once Caldas,United States,MLS,Minnesota United FC,1.82,False
1456,Adalberto Carrasquilla,Central Midfield,23,1.0,Spain,LaLiga SmartBank,FC Cartagena,United States,MLS,Houston Dynamo FC,1.82,False
1457,Shaq Moore,Right-Back,25,800k,Spain,LaLiga SmartBank,CD Tenerife,United States,MLS,Nashville SC,1.82,False
1458,Lovro Zvonarek,Attacking Midfield,17,1.5,Croatia,SuperSport HNL,Slaven Belupo Koprivnica,Germany,Regionalliga Bayern,FC Bayern Munich II,1.8,False
1459,Pep Chavarría,Left-Back,24,800k,Spain,LaLiga SmartBank,Real Zaragoza,Spain,LaLiga,Rayo Vallecano,1.8,False
1460,Matteo Luigi Brunori,Centre-Forward,27,1.2,Italy,Serie C-A,Juventus Next Gen,Italy,Serie B,Palermo FC,1.8,False
1461,Nicolás Quagliata,Left Winger,23,800k,Uruguay,Primera División Clausura,Montevideo Wanderers,Greece,Super League 1,PAOK Thessaloniki,1.8,False
1462,Aliou Badji,Centre-Forward,24,1.8,Egypt,Premier League,El Ahly Cairo,France,Ligue 2,Amiens SC,1.8,False
1463,Guilherme Castilho,Central Midfield,22,1.0,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1.8,False
1464,Maksim Glushenkov,Second Striker,22,1.8,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Krylya Sovetov Samara,1.8,False
1465,Bogdan Planic,Centre-Back,30,700k,Israel,Ligat ha'Al,Maccabi Haifa,United Arab Emirates,UAE Pro League,Shabab Al-Ahli Club,1.8,False
1466,Nonato,Central Midfield,24,1.8,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1.7,False
1467,Frantzdy Pierrot,Centre-Forward,27,1.8,France,Ligue 2,EA Guingamp,Israel,Ligat ha'Al,Maccabi Haifa,1.6,False
1468,Florian Krüger,Centre-Forward,23,1.8,Germany,2. Bundesliga,Arminia Bielefeld,Netherlands,Eredivisie,FC Groningen,1.3,False
1469,Marcos López,Left-Back,22,1.8,United States,MLS,San Jose Earthquakes,Netherlands,Eredivisie,Feyenoord Rotterdam,1.2,False
1470,Vladislav Sarveli,Centre-Forward,24,1.8,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,FC Sochi,1.2,False
1471,Yago Pikachu,Right Winger,30,1.8,Brazil,Série A,Fortaleza Esporte Clube,Japan,J1 League,Shimizu S-Pulse,800k,False
1472,Rodrigues,Centre-Back,24,1.8,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,United States,MLS,San Jose Earthquakes,644k,True
1473,Johannes Eggestein,Centre-Forward,24,1.8,Belgium,Jupiler Pro League,Royal Antwerp FC,Germany,2. Bundesliga,FC St. Pauli,600k,False
1474,Nikola Soldo,Centre-Back,21,1.8,Croatia,SuperSport HNL,NK Lokomotiva Zagreb,Germany,Bundesliga,1.FC Köln,500k,False
1475,Filippo Ranocchia,Central Midfield,21,1.8,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,500k,True
1476,Joan Sastre,Right-Back,25,1.8,Spain,LaLiga,RCD Mallorca,Greece,Super League 1,PAOK Thessaloniki,400k,False
1477,Bartosz Nowak,Attacking Midfield,28,1.8,Poland,Ekstraklasa,Górnik Zabrze,Poland,Ekstraklasa,Raków Częstochowa,400k,False
1478,Lukasz Poreba,Defensive Midfield,22,1.8,Poland,Ekstraklasa,Zaglebie Lubin,France,Ligue 1,RC Lens,350k,False
